company_google_maps_url|company_name|company_avg_rating|company_number_of_ratings|company_category|company_address|company_website|company_phone
https://www.google.com/maps/place/Maisluzservice/data=!4m5!3m4!1s0x935e8b415ed17ab5:0x2b28b5dc55e8afab!8m2!3d-16.589349!4d-49.3363185?authuser=0&hl=pt-BR&rclk=1|Maisluzservice||||Av. do Bosque, Qd 36 - Lt 08 - Floresta, Goiânia - GO, 74477-128|maisluzservice.com.br|(62) 98185-8539
https://www.google.com/maps/place/Cooper+Rama/data=!4m5!3m4!1s0x935e8ae636e4117b:0x39881fc1534afe1b!8m2!3d-16.5936065!4d-49.333803?authuser=0&hl=pt-BR&rclk=1|Cooper Rama|4,5|11 avaliações|Cooperativa|-282, R. JC 66, 254 - Jardim Curitiba, Goiânia - GO, 74481-390|cooperramacooperativa.com|(62) 99291-2244
https://www.google.com/maps/place/Alfa%26omega+eventos+decora%C3%A7%C3%A3es/data=!4m5!3m4!1s0x935e8b29f45c93b1:0x2907450a764afb2!8m2!3d-16.5910827!4d-49.3378984?authuser=0&hl=pt-BR&rclk=1|Alfa&omega eventos decoraçães|||Empresa de organização de eventos|Ainda do bosque quadra 67 lote 07, Goiânia - GO, 74477-128|(62) 99101-9227|CM56+HR Goiânia, Goiás
https://www.google.com/maps/place/Serralheria+Goi%C3%A2nia/data=!4m5!3m4!1s0x935e8be638c26aa7:0xae1d43e8c33104fd!8m2!3d-16.5956653!4d-49.3316966?authuser=0&hl=pt-BR&rclk=1|Serralheria Goiânia|||Metalúrgica|Rua jc63 quadra 130 lote 9 a, Goiânia - GO, 74481-370|youtube.com|(62) 99350-4461
https://www.google.com/maps/place/Saneago/data=!4m5!3m4!1s0x935e8af02c2ce769:0xb685ad28395218ad!8m2!3d-16.5872278!4d-49.3371102?authuser=0&hl=pt-BR&rclk=1|Saneago|5,0|1 avaliação|Companhia de saneamento|Av. Vale dos Sonhos, 1361-1529 - São Domingos, Goiânia - GO, 74477-300|saneago.com.br|CM77+45 São Domingos, Goiânia - GO
https://www.google.com/maps/place/Revenda+Ultragaz/data=!4m5!3m4!1s0x935e8ae5d0e9665d:0x2fa559a8000bf4e3!8m2!3d-16.5910779!4d-49.3328769?authuser=0&hl=pt-BR&rclk=1|Revenda Ultragaz|5,0|2 avaliações|Companhia de gás|R. Jc 69, 69 - Jardim Curitiba, Goiânia - GO, 74481-560|ultragaz.com.br|4003-0123
https://www.google.com/maps/place/CAMISARIA+FIME+COMPANY/data=!4m5!3m4!1s0x935e8bc6c859877f:0xe6d664064cd7fea7!8m2!3d-16.6070463!4d-49.3272491?authuser=0&hl=pt-BR&rclk=1|CAMISARIA FIME COMPANY|4,0|1 avaliação|Loja de Roupa|||
https://www.google.com/maps/place/Encanto+Das+Artes+Company/data=!4m5!3m4!1s0x935e8b2fe0915a65:0x211e72e314849cff!8m2!3d-16.6958759!4d-49.3042674?authuser=0&hl=pt-BR&rclk=1|Encanto Das Artes Company|||Artista||(62) 99107-9304|
https://www.google.com/maps/place/Fharma+Cidad%C3%A3o/data=!4m5!3m4!1s0x935e8bf2e6181fe3:0xfc506e96722a8ed5!8m2!3d-16.5966103!4d-49.3318044?authuser=0&hl=pt-BR&rclk=1|Fharma Cidadão|5,0|4 avaliações|Farmácia|Rua JC 61, quadra 130, lote 16 sala 03 Jardim Curitiba III, Goiânia - GO, 74481-350|fharma-cidadao.negocio.site|(62) 99395-8850
https://www.google.com/maps/place/Metarl%C3%BAgica+Ben%C3%A9+Montagens/data=!4m5!3m4!1s0x935e8b3b1e82b757:0xa1cefed738d81ffa!8m2!3d-16.5842043!4d-49.3354803?authuser=0&hl=pt-BR&rclk=1|Metarlúgica Bené Montagens|||Metalúrgica|R. BS-6, Qd 12 - São Domingos, Goiânia - GO, 74477-395|CM87+8R São Domingos, Goiânia - GO|
